Email,Label
Congratulations! You've won a lottery!,1
Important update regarding your account,0
"Limited time offer, act now!",1
Meeting scheduled for tomorrow at 3 PM,0
Get rich quick with this simple trick!,1
Your invoice for the month is attached,0
"Huge discounts on all products, shop today!",1
Reminder: Your appointment is tomorrow,0
"Win a brand new car, click here!",1
Monthly newsletter from our team,0
Claim your free gift now!,1
Project updates and next steps,0
Earn money fast with this method!,1
Team meeting agenda for next week,0
Congratulations! You have been selected,1
Check out our latest blog post,0
Exclusive deals just for you,1
Don't miss this opportunity to invest!,1
Invoice for the last transaction,0
Join us for a special event this weekend,0
